random_id,baseline_response,post_survey_response
pbgh9pvsyuy,"{""baseline-age"":22,""baseline-race"":[""White""],""baseline-listen-frequency"":""Never"",""baseline-listening-device"":""I don't listen to music when studying"",""baseline-music-type"":[""none""],""baseline-study-hours"":""6-7"",""baseline-study-location"":[""Coffee shop"",""Library"",""Home""],""baseline-study-motivation"":5}","{""reflect-study-mood"":7,""reflect-study-motivation"":7,""motivation_ranking"":[""Lyrical Music"",""Silence"",""Chill Instrumental"",""Upbeat Instrumental""],""reflect-listening-device"":""Speakers/Out loud"",""reflect-device"":""Phone"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":null,""reflect-difficulties"":null,""reflect-feedback"":null}"
pcjkmkfwl4d,"{""baseline-age"":20,""baseline-race"":[""Middle Eastern or North African""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Jazz"",""Lo-fi / Chillhop"",""R&B / Soul"",""Hip-Hop / Rap"",""Ambient / New Age""],""baseline-study-hours"":""8-9"",""baseline-study-location"":[""Home"",""Library"",""Coffee shop""],""baseline-study-motivation"":6}","{""reflect-study-mood"":9,""reflect-study-motivation"":8,""motivation_ranking"":[""Chill Instrumental"",""Upbeat Instrumental"",""Silence"",""Lyrical Music""],""reflect-listening-device"":""Earbuds"",""reflect-device"":""Desktop Computer"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it and would use it for studying"",""reflect-music-likes"":""The chill instrumental and upbeat house tracks were good, lyrical one was tough to pay attention "",""reflect-difficulties"":null,""reflect-feedback"":null}"
pd4c9boljm3,"{""baseline-age"":18,""baseline-race"":[""Hispanic, Latino, or Spanish Origin""],""baseline-listen-frequency"":""Always"",""baseline-listening-device"":""Over-ear headphones"",""baseline-music-type"":[""R&B / Soul"",""Latin / Reggaeton"",""Nature Sounds / White Noise"",""Reggae"",""Pop""],""baseline-study-hours"":""4-5"",""baseline-study-location"":[""Coffee shop"",""Home""],""baseline-study-motivation"":7}","{""reflect-study-mood"":10,""reflect-study-motivation"":9,""motivation_ranking"":[""Upbeat Instrumental"",""Chill Instrumental"",""Lyrical Music"",""Silence""],""reflect-listening-device"":""Speakers/Out loud"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""Both of them"",""reflect-music-opinion"":""I liked it and would use it for studying"",""reflect-music-likes"":""I liked both tracks."",""reflect-difficulties"":""N/A"",""reflect-feedback"":""N/A""}"
pdcrhjtz9ap,"{""baseline-age"":21,""baseline-race"":[""Black or African American"",""White""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Over-ear headphones"",""baseline-music-type"":[""R&B / Soul"",""Rock"",""Pop"",""other""],""baseline-music-type-Comment"":""youtube video"",""baseline-study-hours"":""2-3"",""baseline-study-location"":[""Home""],""baseline-study-motivation"":8}","{""reflect-study-mood"":8,""reflect-study-motivation"":8,""motivation_ranking"":[""Lyrical Music"",""Upbeat Instrumental"",""Chill Instrumental"",""Silence""],""reflect-device"":""Laptop"",""reflect-listening-device"":""Over-ear headphones"",""reflect-music-familiarity"":""Neither"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""idk i didn't dislike the music so imma say the vocal one\n"",""reflect-difficulties"":""no"",""reflect-feedback"":""no""}"
pddu8w00oyk,"{""baseline-age"":24,""baseline-race"":[""Asian""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Jazz"",""Lo-fi / Chillhop"",""Pop"",""Hip-Hop / Rap"",""Reggae"",""K-Pop / J-Pop"",""Podcasts / Spoken Word""],""baseline-study-hours"":""10+"",""baseline-study-location"":[""Home"",""Library""],""baseline-study-motivation"":8}","{""reflect-study-mood"":10,""reflect-study-motivation"":9,""motivation_ranking"":[""Lyrical Music"",""Upbeat Instrumental"",""Chill Instrumental"",""Silence""],""reflect-listening-device"":""Earbuds"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""Both of them"",""reflect-music-opinion"":""I liked it and would use it for studying"",""reflect-music-likes"":""I like all of them"",""reflect-difficulties"":""No"",""reflect-feedback"":""The study is fun :)""}"
pg89slmjbse,"{""baseline-age"":24,""baseline-race"":[""White""],""baseline-listen-frequency"":""Sometimes"",""baseline-listening-device"":""Over-ear headphones"",""baseline-music-type"":[""Lo-fi / Chillhop"",""Classical"",""Nature Sounds / White Noise""],""baseline-study-hours"":""10+"",""baseline-study-location"":[""Home""],""baseline-study-motivation"":6}","{""reflect-study-mood"":10,""reflect-study-motivation"":9,""motivation_ranking"":[""Upbeat Instrumental"",""Silence"",""Chill Instrumental"",""Lyrical Music""],""reflect-listening-device"":""Speakers/Out loud"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""Both tracks hard af no cap. Not studying type ya feel."",""reflect-difficulties"":""no"",""reflect-feedback"":null}"
ph42gfpkfdj,"{""baseline-age"":20,""baseline-race"":[""White""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Over-ear headphones"",""baseline-music-type"":[""Classical""],""baseline-study-hours"":""8-9"",""baseline-study-location"":[""Home""],""baseline-study-motivation"":7}","{""reflect-study-mood"":8,""reflect-study-motivation"":7,""motivation_ranking"":[""Silence"",""Chill Instrumental"",""Upbeat Instrumental"",""Lyrical Music""],""reflect-device"":""Desktop Computer"",""reflect-listening-device"":""Over-ear headphones"",""reflect-music-familiarity"":""Neither"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""I liked them all. Not very judgemental"",""reflect-difficulties"":null,""reflect-feedback"":null}"
pj1fp4vnhgo,"{""baseline-age"":22,""baseline-race"":[""Asian""],""baseline-listen-frequency"":""Sometimes"",""baseline-listening-device"":""Speakers/Out loud"",""baseline-music-type"":[""K-Pop / J-Pop"",""Lo-fi / Chillhop"",""Pop"",""R&B / Soul"",""other""],""baseline-music-type-Comment"":""indie/ indie pop"",""baseline-study-hours"":""4-5"",""baseline-study-location"":[""Home"",""other""],""baseline-study-location-Comment"":""on trolley, other places on campus"",""baseline-study-motivation"":4}","{""reflect-study-mood"":8,""reflect-study-motivation"":6,""motivation_ranking"":[""Silence"",""Upbeat Instrumental"",""Lyrical Music"",""Chill Instrumental""],""reflect-listening-device"":""Earbuds"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""I liked all of them but would use the lyrical one (too distracting) and the classical one (too sleepy) for studying"",""reflect-difficulties"":""n/a"",""reflect-feedback"":""It was fun! I want to know about the findings of this study :) I also might've made a mistake on one of the questions (I realized right after clicking and I couldn't fix it... I guess that's just part of the study!)""}"
pj8g2zckw3z,"{""baseline-age"":22,""baseline-race"":[""Asian"",""White"",""Multiethnic""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Lo-fi / Chillhop"",""Pop"",""Hip-Hop / Rap""],""baseline-study-hours"":""2-3"",""baseline-study-location"":[""Home"",""Library""],""baseline-study-motivation"":6}","{""reflect-study-mood"":6,""reflect-study-motivation"":3,""motivation_ranking"":[""Chill Instrumental"",""Silence"",""Upbeat Instrumental"",""Lyrical Music""],""reflect-listening-device"":""Over-ear headphones"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I didn't like the music used"",""reflect-music-likes"":null,""reflect-difficulties"":""no"",""reflect-feedback"":""the upbeat instrumental music had lyrics""}"
pjb0cxwd8yd,"{""baseline-age"":21,""baseline-race"":[""Asian""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""K-Pop / J-Pop"",""Pop"",""R&B / Soul"",""Lo-fi / Chillhop""],""baseline-study-hours"":""10+"",""baseline-study-location"":[""Home"",""Coffee shop"",""other""],""baseline-study-location-Comment"":""Apartment study room"",""baseline-study-motivation"":6}","{""reflect-study-motivation"":6,""reflect-study-mood"":7,""motivation_ranking"":[""Chill Instrumental"",""Upbeat Instrumental"",""Silence"",""Lyrical Music""],""reflect-device"":""Phone"",""reflect-listening-device"":""Speakers/Out loud"",""reflect-music-familiarity"":""Neither"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""The chill music"",""reflect-difficulties"":null,""reflect-feedback"":null}"
pk78jm038ww,"{""baseline-age"":20,""baseline-race"":[""Asian""],""baseline-listen-frequency"":""Always"",""baseline-listening-device"":""Over-ear headphones"",""baseline-music-type"":[""Pop"",""R&B / Soul"",""Hip-Hop / Rap"",""K-Pop / J-Pop"",""Podcasts / Spoken Word"",""Nature Sounds / White Noise"",""Lo-fi / Chillhop""],""baseline-study-hours"":""6-7"",""baseline-study-location"":[""Home""],""baseline-study-motivation"":3}","{""reflect-study-mood"":7,""reflect-study-motivation"":3,""motivation_ranking"":[""Chill Instrumental"",""Lyrical Music"",""Upbeat Instrumental"",""Silence""],""reflect-listening-device"":""Over-ear headphones"",""reflect-device"":""Desktop Computer"",""reflect-music-familiarity"":""Neither"",""reflect-music-opinion"":""I didn't like the music used"",""reflect-music-likes"":null,""reflect-difficulties"":null,""reflect-feedback"":null}"
pls7hssk9n5,"{""baseline-age"":21,""baseline-race"":[""White""],""baseline-listen-frequency"":""Never"",""baseline-listening-device"":""I don't listen to music when studying"",""baseline-music-type"":[""Podcasts / Spoken Word""],""baseline-study-hours"":""0-1"",""baseline-study-location"":[""Home""],""baseline-study-motivation"":2}","{""reflect-study-mood"":3,""reflect-study-motivation"":1,""motivation_ranking"":[""Chill Instrumental"",""Upbeat Instrumental"",""Silence"",""Lyrical Music""],""reflect-listening-device"":""Speakers/Out loud"",""reflect-device"":""Phone"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""i no like"",""reflect-music-familiarity"":""One of them"",""reflect-difficulties"":""No"",""reflect-feedback"":""No""}"
plvbsn0gqqh,"{""baseline-age"":21,""baseline-race"":[""White""],""baseline-listen-frequency"":""Sometimes"",""baseline-listening-device"":""Over-ear headphones"",""baseline-music-type"":[""Classical"",""Lo-fi / Chillhop""],""baseline-study-hours"":""6-7"",""baseline-study-location"":[""Home""],""baseline-study-motivation"":6}","{""reflect-study-mood"":7,""reflect-study-motivation"":7,""motivation_ranking"":[""Upbeat Instrumental"",""Chill Instrumental"",""Silence"",""Lyrical Music""],""reflect-listening-device"":""Over-ear headphones"",""reflect-device"":""Desktop Computer"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""I liked the chill music. "",""reflect-feedback"":""I think I should have given more time in between each trial as I felt more focused on the first trial than by the end of the experiment."",""reflect-difficulties"":null}"
poyd49myhw9,"{""baseline-race"":[""Hispanic, Latino, or Spanish Origin"",""White"",""Multiethnic"",""other""],""baseline-race-Comment"":""Basque"",""baseline-age"":21,""baseline-listen-frequency"":""Always"",""baseline-listening-device"":""Over-ear headphones"",""baseline-music-type"":[""Classical"",""Jazz"",""Lo-fi / Chillhop"",""Ambient / New Age"",""Pop"",""Rock"",""R&B / Soul"",""Hip-Hop / Rap"",""Electronic / EDM"",""Reggae"",""Latin / Reggaeton"",""K-Pop / J-Pop"",""Nature Sounds / White Noise"",""other""],""baseline-music-type-Comment"":""Everything, depends on what I’m currently liking"",""baseline-study-hours"":""2-3"",""baseline-study-location"":[""Home""],""baseline-study-motivation"":2}","{""reflect-study-mood"":10,""reflect-study-motivation"":8,""motivation_ranking"":[""Chill Instrumental"",""Upbeat Instrumental"",""Lyrical Music"",""Silence""],""reflect-listening-device"":""Speakers/Out loud"",""reflect-device"":""Phone"",""reflect-music-familiarity"":""Both of them"",""reflect-music-opinion"":""I liked it and would use it for studying"",""reflect-music-likes"":""Just the chill instrumental "",""reflect-difficulties"":""Nope"",""reflect-feedback"":""Loved it""}"
pq78kx418s8,"{""baseline-age"":21,""baseline-race"":[""Asian"",""Hispanic, Latino, or Spanish Origin"",""Multiethnic""],""baseline-listen-frequency"":""Sometimes"",""baseline-listening-device"":""Over-ear headphones"",""baseline-music-type"":[""Classical"",""Latin / Reggaeton"",""Nature Sounds / White Noise"",""other""],""baseline-music-type-Comment"":""Video Game Boss OSTs (example: Kirby, Hollow Knight) when I have a big deadline"",""baseline-study-hours"":""8-9"",""baseline-study-location"":[""Home"",""Library""],""baseline-study-motivation"":7}","{""reflect-study-mood"":8,""reflect-study-motivation"":8,""motivation_ranking"":[""Silence"",""Upbeat Instrumental"",""Chill Instrumental"",""Lyrical Music""],""reflect-listening-device"":""Over-ear headphones"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""The Upbeat Instrumental"",""reflect-difficulties"":null,""reflect-feedback"":null}"
pqclbv2h2ck,"{""baseline-age"":20,""baseline-race"":[""Hispanic, Latino, or Spanish Origin""],""baseline-listen-frequency"":""Sometimes"",""baseline-listening-device"":""Speakers/Out loud"",""baseline-music-type"":[""Electronic / EDM""],""baseline-study-hours"":""6-7"",""baseline-study-location"":[""Home""],""baseline-study-motivation"":1}","{""reflect-study-mood"":10,""reflect-study-motivation"":10,""motivation_ranking"":[""Chill Instrumental"",""Silence"",""Lyrical Music"",""Upbeat Instrumental""],""reflect-listening-device"":""Earbuds"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":null,""reflect-difficulties"":null,""reflect-feedback"":null}"
pqdwu2hv9v8,"{""baseline-age"":24,""baseline-race"":[""White""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Classical"",""Nature Sounds / White Noise"",""other""],""baseline-music-type-Comment"":""movie soundtracks"",""baseline-study-hours"":""6-7"",""baseline-study-location"":[""Home"",""Library""],""baseline-study-motivation"":4}","{""reflect-study-mood"":8,""reflect-study-motivation"":7,""motivation_ranking"":[""Chill Instrumental"",""Silence"",""Upbeat Instrumental"",""Lyrical Music""],""reflect-listening-device"":""Over-ear headphones"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""I liked the lyrical track because I knew it so it was familiar to me. "",""reflect-difficulties"":""no"",""reflect-feedback"":""no""}"
pqsy7tr26s1,"{""baseline-age"":18,""baseline-race"":[""Hispanic, Latino, or Spanish Origin""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""R&B / Soul"",""K-Pop / J-Pop"",""Pop""],""baseline-study-hours"":""6-7"",""baseline-study-location"":[""Home"",""Library""],""baseline-study-motivation"":4}","{""reflect-study-mood"":8,""reflect-study-motivation"":7,""motivation_ranking"":[""Lyrical Music"",""Upbeat Instrumental"",""Chill Instrumental"",""Silence""],""reflect-listening-device"":""Earbuds"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""Both of them"",""reflect-music-opinion"":""I liked it and would use it for studying"",""reflect-music-likes"":""both were good because it they were upbeat "",""reflect-difficulties"":""No"",""reflect-feedback"":""it was fun""}"
pr5qb52kpv1,"{""baseline-race"":[""Hispanic, Latino, or Spanish Origin""],""baseline-age"":18,""baseline-listen-frequency"":""Sometimes"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Latin / Reggaeton"",""Hip-Hop / Rap"",""Pop""],""baseline-study-hours"":""4-5"",""baseline-study-location"":[""Library"",""Home""],""baseline-study-motivation"":6}","{""reflect-study-mood"":5,""reflect-study-motivation"":4,""motivation_ranking"":[""Chill Instrumental"",""Silence"",""Lyrical Music"",""Upbeat Instrumental""],""reflect-listening-device"":""Earbuds"",""reflect-device"":""Phone"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it and would use it for studying"",""reflect-music-likes"":""I liked both tracks the first one that played and the second one."",""reflect-difficulties"":""N/A"",""reflect-feedback"":""N/A""}"
prp5mlab79w,"{""baseline-age"":21,""baseline-race"":[""Hispanic, Latino, or Spanish Origin""],""baseline-listen-frequency"":""Never"",""baseline-listening-device"":""I don't listen to music when studying"",""baseline-music-type"":[""none""],""baseline-study-hours"":""2-3"",""baseline-study-location"":[""Home""],""baseline-study-motivation"":4}","{""reflect-study-mood"":10,""reflect-study-motivation"":9,""motivation_ranking"":[""Lyrical Music"",""Upbeat Instrumental"",""Silence"",""Chill Instrumental""],""reflect-listening-device"":""Speakers/Out loud"",""reflect-device"":""Phone"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""I liked the upbeat music and lyrical music "",""reflect-difficulties"":null,""reflect-feedback"":null}"
ps70rke1e0r,"{""baseline-age"":21,""baseline-race"":[""White""],""baseline-listen-frequency"":""Sometimes"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Lo-fi / Chillhop"",""other""],""baseline-music-type-Comment"":""Christian Worship Music"",""baseline-study-hours"":""4-5"",""baseline-study-location"":[""Home"",""Coffee shop""],""baseline-study-motivation"":5}","{""reflect-study-mood"":8,""reflect-study-motivation"":10,""reflect-listening-device"":""Speakers/Out loud"",""reflect-music-familiarity"":""Neither"",""reflect-music-opinion"":""I liked it and would use it for studying"",""reflect-music-likes"":""I liked the second one (instrumental) and the silence the best. "",""reflect-difficulties"":null,""reflect-feedback"":null}"
ps8ryezd7ou,"{""baseline-race"":[""Hispanic, Latino, or Spanish Origin"",""White""],""baseline-age"":22,""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Over-ear headphones"",""baseline-music-type"":[""Lo-fi / Chillhop"",""Podcasts / Spoken Word"",""other"",""Classical""],""baseline-music-type-Comment"":""most any genre that is instrumental (POLYPHIA)"",""baseline-study-location"":[""Home"",""other""],""baseline-study-hours"":""0-1"",""baseline-study-motivation"":3,""baseline-study-location-Comment"":""on campus quiet areas/desks""}","{""reflect-study-mood"":6,""reflect-study-motivation"":6,""motivation_ranking"":[""Chill Instrumental"",""Silence"",""Upbeat Instrumental"",""Lyrical Music""],""reflect-listening-device"":""Over-ear headphones"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":null,""reflect-difficulties"":""n/a"",""reflect-feedback"":""n/a""}"
ps9zxm0rjqr,"{""baseline-age"":21,""baseline-race"":[""White""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Jazz"",""Classical"",""Lo-fi / Chillhop"",""Pop"",""other""],""baseline-music-type-Comment"":""Worship music"",""baseline-study-hours"":""4-5"",""baseline-study-location"":[""Coffee shop"",""Home""],""baseline-study-motivation"":6}","{""reflect-study-mood"":6,""reflect-study-motivation"":3,""reflect-listening-device"":""Speakers/Out loud"",""reflect-music-familiarity"":""Neither"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""Just the classical /jazz one "",""reflect-difficulties"":null,""reflect-feedback"":null}"
